Benchmark,"Hardware Vendor	",System,"# Cores","# Chips","# Cores Per Chip",Result,Baseline,Published
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor 5150, 2.66 GHz)",4,2,2,19.1,17.3,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor 5160, 3.00 GHz)",4,2,2,20.8,18.9,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor E5310, 1.60 GHz)",8,2,4,12.6,11.5,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor E5320, 1.86 GHz)",8,2,4,14.2,12.9,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor E5335, 2.00 GHz)",8,2,4,15.6,14.2,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor E5345, 2.33 GHz)",8,2,4,17.5,15.9,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor X5355, 2.66 GHz)",8,2,4,19.1,17.3,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DB8+ (Intel Xeon processor X5365, 3.00 GHz)",8,2,4,20.8,18.9,Jun-2007
CINT2006,"Intel Corporation","Supermicro X7DWN (Intel Xeon X5482)",8,2,4,29.7,26.1,Oct-2008
CINT2006,"Intel Corporation","Supermicro X8DAI (Intel Xeon W3570, 3.2 GHz)",4,1,4,35.7,32.2,Mar-2009
CINT2006,"Intel Corporation","Supermicro X8DAI (Intel Xeon W3570, 3.2 GHz)",4,1,4,34.5,32.5,Mar-2009
